GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,SAINC7N,515,"333","     Machinery manufacturing","Thousands of dollars",62880000,63221000,66449000,62434000,57348000,56117000,58597000,61257000,64898000,67756000,68962000,59517000,61112000,67953000,71960000,72340000,76108000,76882000,73564000,76694000,81193000,82886000
 "00000","United States", ,SAINC7N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",98735000,106860000,125194000,114381000,98883000,95136000,97789000,101708000,108017000,109759000,105999000,97964000,103613000,108639000,110137000,108480000,112464000,116100000,120828000,126794000,132619000,137028000
 "00000","United States", ,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",21308000,22228000,23450000,22641000,20852000,20407000,20862000,20920000,21909000,22506000,23037000,20493000,20858000,22299000,23254000,24029000,24656000,25067000,25299000,26488000,27445000,28515000
 "00000","United States", ,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",57447000,61875000,63852000,58885000,58628000,59873000,60419000,59143000,59794000,57221000,49898000,38044000,39171000,42807000,46065000,48287000,52790000,56873000,59043000,61258000,65093000,66043000
 "00000","United States", ,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",39580000,39769000,39138000,39991000,39424000,38914000,41081000,43535000,47819000,50329000,52531000,51068000,50622000,54058000,55822000,57929000,59631000,60821000,60222000,61898000,65964000,70017000
 "00000","United States", ,SAINC7N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",17756000,18856000,19823000,19135000,18560000,18318000,18943000,19221000,19709000,19447000,18079000,14459000,13808000,13918000,14308000,14821000,15592000,16630000,17422000,18145000,18560000,18708000
 "00000","United States", ,SAINC7N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",25493000,26412000,27683000,27789000,27596000,28251000,29339000,29683000,31002000,32350000,32698000,30633000,31125000,32122000,33606000,34510000,35609000,37178000,37248000,39049000,40882000,42604000
 "00000","United States", ,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",232477000,238098000,245766000,240194000,235951000,235894000,238991000,241897000,244789000,250192000,249216000,233861000,236466000,239833000,246588000,251576000,261910000,273028000,276588000,286188000,293813000,302143000
 "00000","United States", ,SAINC7N,531,"311","     Food manufacturing","Thousands of dollars",45522000,47298000,49253000,50108000,50854000,52304000,52869000,53570000,54637000,56582000,57793000,58180000,59687000,60749000,62872000,63925000,66577000,70142000,73118000,77475000,80201000,82060000
 "00000","United States", ,SAINC7N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",8521000,8846000,9348000,9748000,9794000,9555000,9699000,9966000,10032000,10399000,11234000,10002000,10091000,10138000,10486000,10594000,11371000,12661000,13310000,14115000,14708000,15346000
 "00000","United States", ,SAINC7N,533,"313","     Textile mills","Thousands of dollars",11942000,11603000,11464000,10069000,9385000,8507000,8143000,7458000,6962000,6330000,5767000,4693000,4804000,4899000,4938000,5036000,5230000,5325000,5247000,5362000,5415000,5343000
 "00000","United States", ,SAINC7N,534,"314","     Textile product mills","Thousands of dollars",5367000,5482000,5603000,5391000,5317000,5273000,5340000,5295000,5209000,5329000,5007000,4238000,4178000,4207000,4225000,4312000,4505000,4651000,4766000,4900000,4969000,4992000
 "00000","United States", ,SAINC7N,535,"315","     Apparel manufacturing","Thousands of dollars",12835000,11728000,11192000,10023000,9022000,8318000,8203000,7781000,7602000,7250000,7003000,5887000,5768000,5567000,5452000,5303000,5429000,5365000,5311000,5168000,5015000,4980000
 "00000","United States", ,SAINC7N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",1939000,1889000,1859000,1714000,1445000,1453000,1411000,1362000,1322000,1298000,1259000,1091000,1061000,1106000,1151000,1248000,1219000,1312000,1288000,1269000,1247000,1258000
 "00000","United States", ,SAINC7N,537,"322","     Paper manufacturing","Thousands of dollars",26469000,26943000,27381000,26594000,25988000,25613000,25343000,25216000,25246000,25345000,25045000,23219000,23540000,23651000,23696000,23986000,24340000,24908000,24743000,25008000,25249000,25652000
 "00000","United States", ,SAINC7N,538,"323","     Printing and related support activities","Thousands of dollars",28343000,28883000,29631000,28422000,27045000,26376000,26681000,26755000,27276000,27493000,26360000,22746000,21604000,21331000,21104000,21158000,21437000,21859000,22072000,22004000,22127000,22068000
